country_code,sector,year,question_code,question_text_2023,response,response_score
ZAF,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
AUT,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
AUS,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
BEL,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
CAN,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
CHL,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
COL,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
CRI,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
CZE,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
DNK,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
EST,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
FIN,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,no,0
FRA,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
DEU,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
GRC,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
HUN,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
ISL,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
IRL,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
ISR,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
ITA,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
JPN,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,no,0
KOR,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,no,0
LVA,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
LTU,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
LUX,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
MEX,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
NLD,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
NZL,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
NOR,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,no,0
POL,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,no,0
PRT,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
SVK,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
SVN,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
ESP,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
SWE,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
CHE,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,no,0
TUR,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
GBR,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
BRA,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
BRA2,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
BGR,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
CYP,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
HRV,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
MLT,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
PER,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
ROU,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
ZAF,Energy,2023,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
AUT,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
AUS,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
BEL,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
CAN,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
CHL,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
COL,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
CRI,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
CZE,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
DNK,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
EST,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
FIN,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
FRA,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
DEU,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
GRC,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",.,NA
HUN,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
ISL,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
IRL,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
ISR,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
ITA,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
JPN,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
KOR,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
LVA,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
LTU,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
LUX,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
MEX,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
NLD,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
NZL,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
NOR,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
POL,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
PRT,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
SVK,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
SVN,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
ESP,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
SWE,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
CHE,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
TUR,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
GBR,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
BRA,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
BRA2,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
BGR,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
CYP,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
HRV,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
MLT,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
PER,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
ROU,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
ZAF,Energy,2018,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
AUT,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
AUS,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
BEL,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
CAN,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
CHL,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
COL,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
CRI,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
CZE,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
DNK,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
EST,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
FIN,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
FRA,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
DEU,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
GRC,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
HUN,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
ISL,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
IRL,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
ISR,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
ITA,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
JPN,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
KOR,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
LVA,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
LTU,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
LUX,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
MEX,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
NLD,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
NZL,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
NOR,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
POL,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
PRT,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
SVK,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
SVN,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
ESP,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
SWE,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
CHE,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
TUR,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
GBR,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
BRA,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
BRA2,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",national budget,NA
BGR,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
CYP,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
HRV,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
MLT,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
PER,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
ROU,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",fees,NA
ZAF,Energy,2023,Q1b.a.22,"Is the regulator funded through fees, the national budget or a mix of both?",both,NA
AUT,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,two years,3
AUS,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,at least three years,6
BEL,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
CAN,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
CHL,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
COL,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
CRI,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
CZE,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
DNK,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
EST,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
FIN,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
FRA,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
DEU,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
GRC,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,at least three years,6
HUN,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
ISL,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
IRL,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
ISR,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,two years,3
ITA,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,at least three years,6
JPN,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
KOR,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
LVA,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
LTU,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,at least three years,6
LUX,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
MEX,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
NLD,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
NZL,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
NOR,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
POL,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
PRT,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
SVK,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
SVN,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
ESP,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
SWE,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
CHE,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
TUR,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
GBR,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
BRA,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
BRA2,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
BGR,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
CYP,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
HRV,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,at least three years,6
MLT,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
PER,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
ROU,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
ZAF,Energy,2018,Q1b.a.23,What is the length of budget appropriations?,annual,0
AUT,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,two years,3
AUS,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,at least three years,6
BEL,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
CAN,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
CHL,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
COL,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
CRI,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
CZE,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
DNK,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
EST,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
FIN,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
FRA,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
DEU,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
GRC,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,at least three years,6
HUN,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
ISL,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
IRL,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
ISR,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,two years,3
ITA,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,at least three years,6
JPN,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
KOR,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
LVA,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
LTU,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,at least three years,6
LUX,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
MEX,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
NLD,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
NZL,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
NOR,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
POL,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
PRT,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
SVK,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
SVN,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
ESP,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
SWE,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
CHE,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
TUR,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
GBR,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
BRA,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
BRA2,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
BGR,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
CYP,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
HRV,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,at least three years,6
MLT,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
PER,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
ROU,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
ZAF,Energy,2023,Q1b.a.23,What is the length of budget appropriations?,annual,0
AUT,Energy,2018,Q1b.a.24,"If the regulator is financed in total or in part through fees paid by the regulated sector, who sets the level of the fees?",regulator within criteria set in legislation,6
AUS,Energy,2018,Q1b.a.24,"If the regulator is financed in total or in part through fees paid by the regulated sector, who sets the level of the fees?",n/a,6
BEL,Energy,2018,Q1b.a.24,"If the regulator is financed in total or in part through fees paid by the regulated sector, who sets the level of the fees?",regulator within criteria set in legislation,6
CAN,Energy,2018,Q1b.a.24,"If the regulator is financed in total or in part through fees paid by the regulated sector, who sets the level of the fees?",regulator within criteria set in legislation,6
CHL,Energy,2018,Q1b.a.24,"If the regulator is financed in total or in part through fees paid by the regulated sector, who sets the level of the fees?",n/a,6
COL,Energy,2018,Q1b.a.24,"If the regulator is financed in total or in part through fees paid by the regulated sector, who sets the level of the fees?",regulator within criteria set in legislation,6
CRI,Energy,2018,Q1b.a.24,"If the regulator is financed in total or in part through fees paid by the regulated sector, who sets the level of the fees?",regulator within criteria set in legislation,6
CZE,Energy,2018,Q1b.a.24,"If the regulator is financed in total or in part through fees paid by the regulated sector, who sets the level of the fees?",governmental/ministerial body,0
DNK,Energy,2018,Q1b.a.24,"If the regulator is financed in total or in part through fees paid by the regulated sector, who sets the level of the fees?",regulator within criteria set in legislation,6
EST,Energy,2018,Q1b.a.24,"If the regulator is financed in total or in part through fees paid by the regulated sector, who sets the level of the fees?",n/a,6
FIN,Energy,2018,Q1b.a.24,"If the regulator is financed in total or in part through fees paid by the regulated sector, who sets the level of the fees?",governmental/ministerial body,0
FRA,Energy,2018,Q1b.a.24,"If the regulator is financed in total or in part through fees paid by the regulated sector, who sets the level of the fees?",n/a,6
DEU,Energy,2018,Q1b.a.24,"If the regulator is financed in total or in part through fees paid by the regulated sector, who sets the level of the fees?",n/a,6
GRC,Energy,2018,Q1b.a.24,"If the regulator is financed in total or in part through fees paid by the regulated sector, who sets the level of the fees?",regulator within criteria set in legislation,6
HUN,Energy,2018,Q1b.a.24,"If the regulator is financed in total or in part through fees paid by the regulated sector, who sets the level of the fees?",parliament/congress/committee upon proposal of the regulator,3
ISL,Energy,2018,Q1b.a.24,"If the regulator is financed in total or in part through fees paid by the regulated sector, who sets the level of the fees?",parliament/congress/committee upon proposal of the regulator,3
IRL,Energy,2018,Q1b.a.24,"If the regulator is financed in total or in part through fees paid by the regulated sector, who sets the level of the fees?",regulator within criteria set in legislation,6
ISR,Energy,2018,Q1b.a.24,"If the regulator is financed in total or in part through fees paid by the regulated sector, who sets the level of the fees?",n/a,6
ITA,Energy,2018,Q1b.a.24,"If the regulator is financed in total or in part through fees paid by the regulated sector, who sets the level of the fees?",regulator within criteria set in legislation,6
JPN,Energy,2018,Q1b.a.24,"If the regulator is financed in total or in part through fees paid by the regulated sector, who sets the level of the fees?",n/a,6
